Model,Class,Loss
MNIST_SMLLAE_0.01_128_1_4.pth,7,0.8951939266131546
MNIST_SMLLAE_0.01_128_1_4.pth,8,0.866939175483872
MNIST_SMLLAE_0.01_128_1_4.pth,9,0.8841271565856026
MNIST_SMLLAE_0.0001_64_1_4.pth,0,0.9672773870886588
MNIST_SMLLAE_0.0001_64_1_4.pth,1,1.5905122452370395
MNIST_SMLLAE_0.0001_64_1_4.pth,2,1.1896648137259853
MNIST_SMLLAE_0.0001_64_1_4.pth,3,1.3023872045007083
MNIST_SMLLAE_0.0001_64_1_4.pth,4,1.4936470165393503
MNIST_SMLLAE_0.0001_64_1_4.pth,5,1.2459435096102445
MNIST_SMLLAE_0.0001_64_1_4.pth,6,1.307003009356636
MNIST_SMLLAE_0.0001_64_1_4.pth,7,1.502884459866624
MNIST_SMLLAE_0.0001_64_1_4.pth,8,1.382993538827622
MNIST_SMLLAE_0.0001_64_1_4.pth,9,1.4951505712404243
MNIST_SMLLAE_0.01_128_5_4.pth,0,0.8197834896798036
MNIST_SMLLAE_0.01_128_5_4.pth,1,0.9298593609868693
MNIST_SMLLAE_0.01_128_5_4.pth,2,0.8435498102921848
MNIST_SMLLAE_0.01_128_5_4.pth,3,0.847277429847434
MNIST_SMLLAE_0.01_128_5_4.pth,4,0.8691818376058473
MNIST_SMLLAE_0.01_128_5_4.pth,5,0.8593506810376462
MNIST_SMLLAE_0.01_128_5_4.pth,6,0.8494209978799482
MNIST_SMLLAE_0.01_128_5_4.pth,7,0.8767476502791453
MNIST_SMLLAE_0.01_128_5_4.pth,8,0.8400510543425714
MNIST_SMLLAE_0.01_128_5_4.pth,9,0.863655691281537
MNIST_SMLLAE_0.01_128_1_3.pth,0,0.8839514029877527
MNIST_SMLLAE_0.01_128_1_3.pth,1,1.0084511016433986
MNIST_SMLLAE_0.01_128_1_3.pth,2,0.9262212197216906
MNIST_SMLLAE_0.01_128_1_3.pth,3,0.9159875195805389
MNIST_SMLLAE_0.01_128_1_3.pth,4,0.9762524191570865
MNIST_SMLLAE_0.01_128_1_3.pth,5,0.9573513207948796
MNIST_SMLLAE_0.01_128_1_3.pth,6,0.9370685406418086
MNIST_SMLLAE_0.01_128_1_3.pth,7,0.99626055933854
MNIST_SMLLAE_0.01_128_1_3.pth,8,0.9178206051644359
MNIST_SMLLAE_0.01_128_1_3.pth,9,0.958909014644188
MNIST_SMLLAE_0.0001_64_10_3.pth,0,0.837938498842473
MNIST_SMLLAE_0.0001_64_10_3.pth,1,1.0471753677082483
MNIST_SMLLAE_0.0001_64_10_3.pth,2,0.8844105027211729
MNIST_SMLLAE_0.0001_64_10_3.pth,3,0.8763924232803949
MNIST_SMLLAE_0.0001_64_10_3.pth,4,0.9504399589754171
MNIST_SMLLAE_0.0001_64_10_3.pth,5,0.8947837470358263
MNIST_SMLLAE_0.0001_64_10_3.pth,6,0.9028247963784881
MNIST_SMLLAE_0.0001_64_10_3.pth,7,0.950058273536222
MNIST_SMLLAE_0.0001_64_10_3.pth,8,0.8757285251142553
MNIST_SMLLAE_0.0001_64_10_3.pth,9,0.9328907545659658
MNIST_SMLLAE_0.0001_128_10_4.pth,0,0.867969776963701
MNIST_SMLLAE_0.0001_128_10_4.pth,1,1.224844596984628
MNIST_SMLLAE_0.0001_128_10_4.pth,2,0.9295081685679828
MNIST_SMLLAE_0.0001_128_10_4.pth,3,1.0064802093080956
MNIST_SMLLAE_0.0001_128_10_4.pth,4,1.048508397916184
MNIST_SMLLAE_0.0001_128_10_4.pth,5,0.9730829405410407
MNIST_SMLLAE_0.0001_128_10_4.pth,6,0.9259727021722057
MNIST_SMLLAE_0.0001_128_10_4.pth,7,1.1119001176686603
MNIST_SMLLAE_0.0001_128_10_4.pth,8,1.0110683392817479
MNIST_SMLLAE_0.0001_128_10_4.pth,9,1.0736675186247018
MNIST_SMLLAE_0.01_32_10_4.pth,0,0.8259776421955654
MNIST_SMLLAE_0.01_32_10_4.pth,1,0.9343529219144241
MNIST_SMLLAE_0.01_32_10_4.pth,2,0.8493782727177753
MNIST_SMLLAE_0.01_32_10_4.pth,3,0.8521552656546678
MNIST_SMLLAE_0.01_32_10_4.pth,4,0.8738886891824408
MNIST_SMLLAE_0.01_32_10_4.pth,5,0.8645119338960391
MNIST_SMLLAE_0.01_32_10_4.pth,6,0.8562493756071262
MNIST_SMLLAE_0.01_32_10_4.pth,7,0.879588704570722
MNIST_SMLLAE_0.01_32_10_4.pth,8,0.8456804800082526
MNIST_SMLLAE_0.01_32_10_4.pth,9,0.868034181025385
MNIST_SMLLAE_0.0001_32_1_4.pth,0,0.9167728441710374
MNIST_SMLLAE_0.0001_32_1_4.pth,1,1.2758263833197203
MNIST_SMLLAE_0.0001_32_1_4.pth,2,1.0011608088316843
MNIST_SMLLAE_0.0001_32_1_4.pth,3,1.0316987015823327
MNIST_SMLLAE_0.0001_32_1_4.pth,4,1.330781546483943
MNIST_SMLLAE_0.0001_32_1_4.pth,5,1.0194335654043831
MNIST_SMLLAE_0.0001_32_1_4.pth,6,1.0329624495949277
MNIST_SMLLAE_0.0001_32_1_4.pth,7,1.2538101634858647
MNIST_SMLLAE_0.0001_32_1_4.pth,8,1.106525738503654
MNIST_SMLLAE_0.0001_32_1_4.pth,9,1.3329603351851993
MNIST_SMLLAE_0.001_64_10_3.pth,0,0.8130803742579051
MNIST_SMLLAE_0.001_64_10_3.pth,1,0.9213833862989484
MNIST_SMLLAE_0.001_64_10_3.pth,2,0.8387193122459936
MNIST_SMLLAE_0.001_64_10_3.pth,3,0.8423700251201592
MNIST_SMLLAE_0.001_64_10_3.pth,4,0.8632803099825523
MNIST_SMLLAE_0.001_64_10_3.pth,5,0.8542734382532102
MNIST_SMLLAE_0.001_64_10_3.pth,6,0.8444434789501302
MNIST_SMLLAE_0.001_64_10_3.pth,7,0.871672770044683
MNIST_SMLLAE_0.001_64_10_3.pth,8,0.8356568023899008
MNIST_SMLLAE_0.001_64_10_3.pth,9,0.8586158738263889
MNIST_SMLLAE_0.0001_128_10_3.pth,0,0.9430351381399193
MNIST_SMLLAE_0.0001_128_10_3.pth,1,1.2080416396851057
MNIST_SMLLAE_0.0001_128_10_3.pth,2,1.0934410411720128
MNIST_SMLLAE_0.0001_128_10_3.pth,3,1.107942671527957
MNIST_SMLLAE_0.0001_128_10_3.pth,4,1.1528342962871987
MNIST_SMLLAE_0.0001_128_10_3.pth,5,1.1336754611254807
MNIST_SMLLAE_0.0001_128_10_3.pth,6,1.0863062839542899
MNIST_SMLLAE_0.0001_128_10_3.pth,7,1.1563661783237866
MNIST_SMLLAE_0.0001_128_10_3.pth,8,1.0972943509751032
MNIST_SMLLAE_0.0001_128_10_3.pth,9,1.1335852370035306
MNIST_SMLLAE_0.0001_64_10_4.pth,0,0.8329098526312381
MNIST_SMLLAE_0.0001_64_10_4.pth,1,1.016892690963157
MNIST_SMLLAE_0.0001_64_10_4.pth,2,0.8613691837057587
MNIST_SMLLAE_0.0001_64_10_4.pth,3,0.8818541959370717
MNIST_SMLLAE_0.0001_64_10_4.pth,4,0.9054514074398398
MNIST_SMLLAE_0.0001_64_10_4.pth,5,0.887963034646928
MNIST_SMLLAE_0.0001_64_10_4.pth,6,0.8613778729155068
MNIST_SMLLAE_0.0001_64_10_4.pth,7,0.966812180811793
MNIST_SMLLAE_0.0001_64_10_4.pth,8,0.879356771217969
MNIST_SMLLAE_0.0001_64_10_4.pth,9,0.9251195876992966
MNIST_SMLLAE_0.001_64_10_4.pth,0,0.8135452416478371
MNIST_SMLLAE_0.001_64_10_4.pth,1,0.9200646747051356
MNIST_SMLLAE_0.001_64_10_4.pth,2,0.8378277780820232
MNIST_SMLLAE_0.001_64_10_4.pth,3,0.8415338569348402
MNIST_SMLLAE_0.001_64_10_4.pth,4,0.8635174256356816
MNIST_SMLLAE_0.001_64_10_4.pth,5,0.8540087896879478
MNIST_SMLLAE_0.001_64_10_4.pth,6,0.8439298389102322
MNIST_SMLLAE_0.001_64_10_4.pth,7,0.8719901996247963
MNIST_SMLLAE_0.001_64_10_4.pth,8,0.8344101053978139
MNIST_SMLLAE_0.001_64_10_4.pth,9,0.8583296821540364
MNIST_SMLLAE_0.0001_32_1_3.pth,0,1.1033885505126446
MNIST_SMLLAE_0.0001_32_1_3.pth,1,1.6139834854571304
MNIST_SMLLAE_0.0001_32_1_3.pth,2,1.275772314778594
MNIST_SMLLAE_0.0001_32_1_3.pth,3,1.0606600176579881
MNIST_SMLLAE_0.0001_32_1_3.pth,4,1.540436901410097
MNIST_SMLLAE_0.0001_32_1_3.pth,5,1.2132350835164032
MNIST_SMLLAE_0.0001_32_1_3.pth,6,1.494505610806957
MNIST_SMLLAE_0.0001_32_1_3.pth,7,1.5171699683374005
MNIST_SMLLAE_0.0001_32_1_3.pth,8,1.1290869804623191
MNIST_SMLLAE_0.0001_32_1_3.pth,9,1.491513890010278
MNIST_SMLLAE_0.01_32_10_3.pth,0,0.8288864346791287
MNIST_SMLLAE_0.01_32_10_3.pth,1,0.932278883037063
MNIST_SMLLAE_0.01_32_10_3.pth,2,0.8492564699330996
MNIST_SMLLAE_0.01_32_10_3.pth,3,0.8528893539811125
MNIST_SMLLAE_0.01_32_10_3.pth,4,0.8748189673404344
MNIST_SMLLAE_0.01_32_10_3.pth,5,0.8650191530518467
MNIST_SMLLAE_0.01_32_10_3.pth,6,0.8533658772271461
MNIST_SMLLAE_0.01_32_10_3.pth,7,0.8842244504838602
MNIST_SMLLAE_0.01_32_10_3.pth,8,0.8465399242769277
MNIST_SMLLAE_0.01_32_10_3.pth,9,0.8694720978306826
