Model,Class,Loss
MNIST_SMLLAE_0.01_128_10_4.pth,8,0.8407745574901236
MNIST_SMLLAE_0.01_128_10_4.pth,9,0.8630955684173214
MNIST_SMLLAE_0.001_64_5_2.pth,0,0.8182420386343586
MNIST_SMLLAE_0.001_64_5_2.pth,1,0.9303855879716411
MNIST_SMLLAE_0.001_64_5_2.pth,2,0.8430268204258394
MNIST_SMLLAE_0.001_64_5_2.pth,3,0.8473531543028237
MNIST_SMLLAE_0.001_64_5_2.pth,4,0.8702956343983924
MNIST_SMLLAE_0.001_64_5_2.pth,5,0.8612116744299106
MNIST_SMLLAE_0.001_64_5_2.pth,6,0.8492832657937466
MNIST_SMLLAE_0.001_64_5_2.pth,7,0.8774780802109826
MNIST_SMLLAE_0.001_64_5_2.pth,8,0.8403738820332521
MNIST_SMLLAE_0.001_64_5_2.pth,9,0.8637956097884504
MNIST_SMLLAE_0.0001_128_1_4.pth,0,1.0237056487068839
MNIST_SMLLAE_0.0001_128_1_4.pth,1,1.6704630993536391
MNIST_SMLLAE_0.0001_128_1_4.pth,2,1.2175220729306686
MNIST_SMLLAE_0.0001_128_1_4.pth,3,1.3463365681690744
MNIST_SMLLAE_0.0001_128_1_4.pth,4,1.6191256826254112
MNIST_SMLLAE_0.0001_128_1_4.pth,5,1.294071415213726
MNIST_SMLLAE_0.0001_128_1_4.pth,6,1.3536214682901577
MNIST_SMLLAE_0.0001_128_1_4.pth,7,1.5985983275022024
MNIST_SMLLAE_0.0001_128_1_4.pth,8,1.4264581806238672
MNIST_SMLLAE_0.0001_128_1_4.pth,9,1.6253869069225133
MNIST_SMLLAE_0.001_128_5_2.pth,0,0.8486906116714283
MNIST_SMLLAE_0.001_128_5_2.pth,1,1.0291123944757268
MNIST_SMLLAE_0.001_128_5_2.pth,2,0.9055714139411616
MNIST_SMLLAE_0.001_128_5_2.pth,3,0.8964839974252304
MNIST_SMLLAE_0.001_128_5_2.pth,4,0.9682723074969352
MNIST_SMLLAE_0.001_128_5_2.pth,5,0.9178412610105335
MNIST_SMLLAE_0.001_128_5_2.pth,6,0.9272329369890416
MNIST_SMLLAE_0.001_128_5_2.pth,7,0.9811087399721146
MNIST_SMLLAE_0.001_128_5_2.pth,8,0.9103999626832332
MNIST_SMLLAE_0.001_128_5_2.pth,9,0.9660838369217335
MNIST_SMLLAE_0.001_128_10_3.pth,0,0.8201690564350206
MNIST_SMLLAE_0.001_128_10_3.pth,1,0.926237007227238
MNIST_SMLLAE_0.001_128_10_3.pth,2,0.8430745196781417
MNIST_SMLLAE_0.001_128_10_3.pth,3,0.8465990330323134
MNIST_SMLLAE_0.001_128_10_3.pth,4,0.8665741244425842
MNIST_SMLLAE_0.001_128_10_3.pth,5,0.8588978001355055
MNIST_SMLLAE_0.001_128_10_3.pth,6,0.8487465521612346
MNIST_SMLLAE_0.001_128_10_3.pth,7,0.8750294738010673
MNIST_SMLLAE_0.001_128_10_3.pth,8,0.8407513627770989
MNIST_SMLLAE_0.001_128_10_3.pth,9,0.862014748768953
MNIST_SMLLAE_0.001_64_1_3.pth,0,0.9286575390976303
MNIST_SMLLAE_0.001_64_1_3.pth,1,1.1383117223626191
MNIST_SMLLAE_0.001_64_1_3.pth,2,1.0324481671979262
MNIST_SMLLAE_0.001_64_1_3.pth,3,0.9626381142304675
MNIST_SMLLAE_0.001_64_1_3.pth,4,1.09688635792606
MNIST_SMLLAE_0.001_64_1_3.pth,5,1.008453970733245
MNIST_SMLLAE_0.001_64_1_3.pth,6,1.0437991171142005
MNIST_SMLLAE_0.001_64_1_3.pth,7,1.0982531354353122
MNIST_SMLLAE_0.001_64_1_3.pth,8,0.9811647848304537
MNIST_SMLLAE_0.001_64_1_3.pth,9,1.072467624373195
MNIST_SMLLAE_0.001_128_5_3.pth,0,0.8370605851922717
MNIST_SMLLAE_0.001_128_5_3.pth,1,0.9994688937842583
