Dataset,Model,Seed,Epochs,Learning Rate,Batch Size,Loss
MNIST,SMLLAE,1,14,0.001,64,0.01326453560061737
MNIST,SMLLAE,1,15,0.001,64,0.01326295839888709
MNIST,SMLLAE,1,16,0.001,64,0.01326135498012847
MNIST,SMLLAE,1,17,0.001,64,0.013260079356136798
MNIST,SMLLAE,1,18,0.001,64,0.013259006051549208
MNIST,SMLLAE,1,19,0.001,64,0.01325799803783708
MNIST,SMLLAE,1,Test,0.001,64,0.013396362163079012
MNIST,SMLLAE,1,0,0.01,128,0.007206655884864552
MNIST,SMLLAE,1,1,0.01,128,0.006740905529162141
MNIST,SMLLAE,1,2,0.01,128,0.006678439953775484
MNIST,SMLLAE,1,3,0.01,128,0.006666744267865857
MNIST,SMLLAE,1,4,0.01,128,0.006663902720281565
MNIST,SMLLAE,1,5,0.01,128,0.006662460369691411
MNIST,SMLLAE,1,6,0.01,128,0.006661857978732728
MNIST,SMLLAE,1,7,0.01,128,0.006661565399476523
MNIST,SMLLAE,1,8,0.01,128,0.00666085856635052
MNIST,SMLLAE,1,9,0.01,128,0.006660559983141641
MNIST,SMLLAE,1,10,0.01,128,0.006660111014173229
MNIST,SMLLAE,1,11,0.01,128,0.00666015369813643
MNIST,SMLLAE,1,12,0.01,128,0.006659462181195966
MNIST,SMLLAE,1,13,0.01,128,0.0066595402782532705
MNIST,SMLLAE,1,14,0.01,128,0.006658761970587631
MNIST,SMLLAE,1,15,0.01,128,0.006659068954564425
MNIST,SMLLAE,1,16,0.01,128,0.006658729261109061
MNIST,SMLLAE,1,17,0.01,128,0.0066590185032915205
MNIST,SMLLAE,1,18,0.01,128,0.006659006292838405
MNIST,SMLLAE,1,19,0.01,128,0.006658656175123222
MNIST,SMLLAE,1,Test,0.01,128,0.006613515830256894
MNIST,SMLLAE,1,0,0.001,128,0.0075174807868739054
MNIST,SMLLAE,1,1,0.001,128,0.007156756362998918
MNIST,SMLLAE,1,2,0.001,128,0.00695778059163518
MNIST,SMLLAE,1,3,0.001,128,0.006794732149396496
MNIST,SMLLAE,1,4,0.001,128,0.006727197299848424
MNIST,SMLLAE,1,5,0.001,128,0.006702699803753194
MNIST,SMLLAE,1,6,0.001,128,0.006687859197391439
MNIST,SMLLAE,1,7,0.001,128,0.006676424041525451
MNIST,SMLLAE,1,8,0.001,128,0.006666805067939608
MNIST,SMLLAE,1,9,0.001,128,0.006660216665669863
MNIST,SMLLAE,1,10,0.001,128,0.006654769420496691
MNIST,SMLLAE,1,11,0.001,128,0.006648996162778343
MNIST,SMLLAE,1,12,0.001,128,0.0066440402448717465
MNIST,SMLLAE,1,13,0.001,128,0.006640320918810711
MNIST,SMLLAE,1,14,0.001,128,0.006638182557499739
MNIST,SMLLAE,1,15,0.001,128,0.006636505173062529
MNIST,SMLLAE,1,16,0.001,128,0.006635390896238943
MNIST,SMLLAE,1,17,0.001,128,0.006634376413905735
MNIST,SMLLAE,1,18,0.001,128,0.006633489532694062
MNIST,SMLLAE,1,19,0.001,128,0.006632694731285768
MNIST,SMLLAE,1,Test,0.001,128,0.00659827826709687
MNIST,SMLLAE,2,0,0.01,64,0.013923359738944817
MNIST,SMLLAE,2,1,0.01,64,0.013381644184869935
MNIST,SMLLAE,2,2,0.01,64,0.013359250480940601
MNIST,SMLLAE,2,3,0.01,64,0.013351790211808833
MNIST,SMLLAE,2,4,0.01,64,0.013350434403723554
MNIST,SMLLAE,2,Test,0.01,64,0.013265657885249253
MNIST,SMLLAE,2,0,0.001,64,0.014521742497743574
MNIST,SMLLAE,2,1,0.001,64,0.013553963543207788
MNIST,SMLLAE,2,2,0.001,64,0.013429796106732094
MNIST,SMLLAE,2,3,0.001,64,0.013376718257933157
MNIST,SMLLAE,2,4,0.001,64,0.01334023198434539
MNIST,SMLLAE,2,Test,0.001,64,0.01323557588135361
MNIST,SMLLAE,2,0,0.01,128,0.007128109783132765
MNIST,SMLLAE,2,1,0.01,128,0.006743482846234526
MNIST,SMLLAE,2,2,0.01,128,0.0066839733472796896
MNIST,SMLLAE,2,3,0.01,128,0.006668673577045263
MNIST,SMLLAE,2,4,0.01,128,0.0066651310731988475
MNIST,SMLLAE,2,Test,0.01,128,0.006654691805803701
MNIST,SMLLAE,2,0,0.001,128,0.007528818107204143
MNIST,SMLLAE,2,1,0.001,128,0.006906906490339272
MNIST,SMLLAE,2,2,0.001,128,0.006798897343657927
MNIST,SMLLAE,2,3,0.001,128,0.006770161533557467
MNIST,SMLLAE,2,4,0.001,128,0.00673644801280074
MNIST,SMLLAE,2,Test,0.001,128,0.006681080270982995
MNIST,SMLLAE,2,0,0.01,64,0.013923359738944817
MNIST,SMLLAE,2,1,0.01,64,0.013381644184869935
MNIST,SMLLAE,2,2,0.01,64,0.013359250480940601
MNIST,SMLLAE,2,3,0.01,64,0.013351790211808833
MNIST,SMLLAE,2,4,0.01,64,0.013350434403723554
MNIST,SMLLAE,2,5,0.01,64,0.01334933557613159
MNIST,SMLLAE,2,6,0.01,64,0.013348161112834841
MNIST,SMLLAE,2,7,0.01,64,0.013347780301189943
MNIST,SMLLAE,2,8,0.01,64,0.013346511683960968
MNIST,SMLLAE,2,9,0.01,64,0.013346625014400875
MNIST,SMLLAE,2,10,0.01,64,0.013346293730649359
MNIST,SMLLAE,2,11,0.01,64,0.013346044350661702
MNIST,SMLLAE,2,12,0.01,64,0.01334598576570593
MNIST,SMLLAE,2,13,0.01,64,0.013346131669599682
MNIST,SMLLAE,2,14,0.01,64,0.01334526686907323
MNIST,SMLLAE,2,15,0.01,64,0.01334590484886599
MNIST,SMLLAE,2,16,0.01,64,0.013345168951128337
MNIST,SMLLAE,2,17,0.01,64,0.013346027288990996
MNIST,SMLLAE,2,18,0.01,64,0.013344685299826393
MNIST,SMLLAE,2,19,0.01,64,0.01334509044103245
MNIST,SMLLAE,2,Test,0.01,64,0.013265028168821032
MNIST,SMLLAE,2,0,0.001,64,0.014521742497743574
MNIST,SMLLAE,2,1,0.001,64,0.013553963543207788
MNIST,SMLLAE,2,2,0.001,64,0.013429796106732094
MNIST,SMLLAE,2,3,0.001,64,0.013376718257933157
MNIST,SMLLAE,2,4,0.001,64,0.01334023198434539
MNIST,SMLLAE,2,5,0.001,64,0.013322263793237428
MNIST,SMLLAE,2,6,0.001,64,0.013313832766275163
MNIST,SMLLAE,2,7,0.001,64,0.013307635209707817
MNIST,SMLLAE,2,8,0.001,64,0.013301979553804341
MNIST,SMLLAE,2,9,0.001,64,0.013295987678536856
MNIST,SMLLAE,2,10,0.001,64,0.013287452873644799
MNIST,SMLLAE,2,11,0.001,64,0.013277230792240038
MNIST,SMLLAE,2,12,0.001,64,0.013271699511587048
MNIST,SMLLAE,2,13,0.001,64,0.013267663130755109
MNIST,SMLLAE,2,14,0.001,64,0.01326467340160757
MNIST,SMLLAE,2,15,0.001,64,0.013262714680308091
MNIST,SMLLAE,2,16,0.001,64,0.013261037379272901
MNIST,SMLLAE,2,17,0.001,64,0.013259395928199549
MNIST,SMLLAE,2,18,0.001,64,0.013258469204650696
MNIST,SMLLAE,2,19,0.001,64,0.013257474127187849
MNIST,SMLLAE,2,Test,0.001,64,0.013180933204615951
MNIST,SMLLAE,2,0,0.01,128,0.007128109783132765
MNIST,SMLLAE,2,1,0.01,128,0.006743482846234526
MNIST,SMLLAE,2,2,0.01,128,0.0066839733472796896
MNIST,SMLLAE,2,3,0.01,128,0.006668673577045263
MNIST,SMLLAE,2,4,0.01,128,0.0066651310731988475
MNIST,SMLLAE,2,5,0.01,128,0.006663801486113432
MNIST,SMLLAE,2,6,0.01,128,0.006662922117040991
MNIST,SMLLAE,2,7,0.01,128,0.006662284672411202
MNIST,SMLLAE,2,8,0.01,128,0.00666121681576281
MNIST,SMLLAE,2,9,0.01,128,0.0066596827487638
MNIST,SMLLAE,2,10,0.01,128,0.00665938122662654
MNIST,SMLLAE,2,11,0.01,128,0.006658686064819156
MNIST,SMLLAE,2,12,0.01,128,0.0066587284112027455
MNIST,SMLLAE,2,13,0.01,128,0.0066583433400974595
MNIST,SMLLAE,2,14,0.01,128,0.006658484945808456
MNIST,SMLLAE,2,15,0.01,128,0.006658219356042172
MNIST,SMLLAE,2,16,0.01,128,0.006657715798464856
MNIST,SMLLAE,2,17,0.01,128,0.006657630169410695
MNIST,SMLLAE,2,18,0.01,128,0.006657816912494362
MNIST,SMLLAE,2,19,0.01,128,0.006657459929998495
MNIST,SMLLAE,2,Test,0.01,128,0.006630166710790576
MNIST,SMLLAE,2,0,0.001,128,0.007528818107204143
MNIST,SMLLAE,2,1,0.001,128,0.006906906490339272
MNIST,SMLLAE,2,2,0.001,128,0.006798897343657927
MNIST,SMLLAE,2,3,0.001,128,0.006770161533557467
MNIST,SMLLAE,2,4,0.001,128,0.00673644801280074
MNIST,SMLLAE,2,5,0.001,128,0.0067150550139849505
MNIST,SMLLAE,2,6,0.001,128,0.006693414285350074
MNIST,SMLLAE,2,7,0.001,128,0.006677281029069665
MNIST,SMLLAE,2,8,0.001,128,0.006666139078967925
MNIST,SMLLAE,2,9,0.001,128,0.006658859145857378
MNIST,SMLLAE,2,10,0.001,128,0.0066541385874628765
MNIST,SMLLAE,2,11,0.001,128,0.006651105066296706
MNIST,SMLLAE,2,12,0.001,128,0.006649100542394147
MNIST,SMLLAE,2,13,0.001,128,0.006647030636271053
MNIST,SMLLAE,2,14,0.001,128,0.006645378817532108
MNIST,SMLLAE,2,15,0.001,128,0.00664373867606907
MNIST,SMLLAE,2,16,0.001,128,0.006642258082673366
MNIST,SMLLAE,2,17,0.001,128,0.006640390551555703
MNIST,SMLLAE,2,18,0.001,128,0.006638058812728823
MNIST,SMLLAE,2,19,0.001,128,0.006635222079625516
MNIST,SMLLAE,2,Test,0.001,128,0.0065963517556179175
MNIST,SMLLAE,3,0,0.01,64,0.01404481735636494
MNIST,SMLLAE,3,1,0.01,64,0.013386585297924814
MNIST,SMLLAE,3,2,0.01,64,0.01336554453662559
MNIST,SMLLAE,3,3,0.01,64,0.013358125252637274
MNIST,SMLLAE,3,4,0.01,64,0.013355930065756033
MNIST,SMLLAE,3,Test,0.01,64,0.013258050706024004
MNIST,SMLLAE,3,0,0.001,64,0.014717728616411624
MNIST,SMLLAE,3,1,0.001,64,0.013693687724453936
MNIST,SMLLAE,3,2,0.001,64,0.013446104550944653
MNIST,SMLLAE,3,3,0.001,64,0.01338917277018621
MNIST,SMLLAE,3,4,0.001,64,0.01336253014232304
MNIST,SMLLAE,3,Test,0.001,64,0.01326027950331284
MNIST,SMLLAE,3,0,0.01,128,0.007266542625063454
MNIST,SMLLAE,3,1,0.01,128,0.00678092165431107
MNIST,SMLLAE,3,2,0.01,128,0.0066915021718803374
MNIST,SMLLAE,3,3,0.01,128,0.006670213722463038
MNIST,SMLLAE,3,4,0.01,128,0.006663954504993933
MNIST,SMLLAE,3,Test,0.01,128,0.006618619277554599
MNIST,SMLLAE,3,0,0.001,128,0.007526669676091943
MNIST,SMLLAE,3,1,0.001,128,0.007129180543958696
MNIST,SMLLAE,3,2,0.001,128,0.006862399920916506
MNIST,SMLLAE,3,3,0.001,128,0.006765948293774303
MNIST,SMLLAE,3,4,0.001,128,0.006721909473668029
MNIST,SMLLAE,3,Test,0.001,128,0.006657713352219213
MNIST,SMLLAE,3,0,0.01,64,0.01404481735636494
MNIST,SMLLAE,3,1,0.01,64,0.013386585297924814
MNIST,SMLLAE,3,2,0.01,64,0.01336554453662559
MNIST,SMLLAE,3,3,0.01,64,0.013358125252637274
MNIST,SMLLAE,3,4,0.01,64,0.013355930065756033
MNIST,SMLLAE,3,5,0.01,64,0.01335246759607816
MNIST,SMLLAE,3,6,0.01,64,0.013351549766759183
MNIST,SMLLAE,3,7,0.01,64,0.013349086546631002
MNIST,SMLLAE,3,8,0.01,64,0.013348809674755532
MNIST,SMLLAE,3,9,0.01,64,0.013348076793390996
MNIST,SMLLAE,3,10,0.01,64,0.013348405753800483
MNIST,SMLLAE,3,11,0.01,64,0.013346798084517405
MNIST,SMLLAE,3,12,0.01,64,0.013348165712853485
MNIST,SMLLAE,3,13,0.01,64,0.013347077238033894
MNIST,SMLLAE,3,14,0.01,64,0.01334680377769826
MNIST,SMLLAE,3,15,0.01,64,0.01334695657417337
MNIST,SMLLAE,3,16,0.01,64,0.013347325587410853
MNIST,SMLLAE,3,17,0.01,64,0.013346698397258197
MNIST,SMLLAE,3,18,0.01,64,0.013345961348771224
MNIST,SMLLAE,3,19,0.01,64,0.013346699863743743
MNIST,SMLLAE,3,Test,0.01,64,0.013262179715760575
MNIST,SMLLAE,3,0,0.001,64,0.014717728616411624
MNIST,SMLLAE,3,1,0.001,64,0.013693687724453936
MNIST,SMLLAE,3,2,0.001,64,0.013446104550944653
MNIST,SMLLAE,3,3,0.001,64,0.01338917277018621
MNIST,SMLLAE,3,4,0.001,64,0.01336253014232304
MNIST,SMLLAE,3,5,0.001,64,0.013338830075792667
MNIST,SMLLAE,3,6,0.001,64,0.013317811025826852
MNIST,SMLLAE,3,7,0.001,64,0.013303299055202429
MNIST,SMLLAE,3,8,0.001,64,0.013295027448225822
MNIST,SMLLAE,3,9,0.001,64,0.013289963825544251
MNIST,SMLLAE,3,10,0.001,64,0.01328585505374332
MNIST,SMLLAE,3,11,0.001,64,0.013283440031047696
MNIST,SMLLAE,3,12,0.001,64,0.013280467773630802
MNIST,SMLLAE,3,13,0.001,64,0.013278485045456557
MNIST,SMLLAE,3,14,0.001,64,0.01327643823573616
MNIST,SMLLAE,3,15,0.001,64,0.013274768614637127
MNIST,SMLLAE,3,16,0.001,64,0.013273410202224434
MNIST,SMLLAE,3,17,0.001,64,0.0132722855924861
MNIST,SMLLAE,3,18,0.001,64,0.013271902562744582
MNIST,SMLLAE,3,19,0.001,64,0.013270798676422856
MNIST,SMLLAE,3,Test,0.001,64,0.013220997272166097
MNIST,SMLLAE,3,0,0.01,128,0.007266542625063454
MNIST,SMLLAE,3,1,0.01,128,0.00678092165431107
MNIST,SMLLAE,3,2,0.01,128,0.0066915021718803374
MNIST,SMLLAE,3,3,0.01,128,0.006670213722463038
MNIST,SMLLAE,3,4,0.01,128,0.006663954504993933
MNIST,SMLLAE,3,5,0.01,128,0.0066620229250952
MNIST,SMLLAE,3,6,0.01,128,0.006660168655891853
MNIST,SMLLAE,3,7,0.01,128,0.006659526169411282
MNIST,SMLLAE,3,8,0.01,128,0.006658213584423701
MNIST,SMLLAE,3,9,0.01,128,0.006658056228638076
MNIST,SMLLAE,3,10,0.01,128,0.006657559313436053
MNIST,SMLLAE,3,11,0.01,128,0.006657184879067165
MNIST,SMLLAE,3,12,0.01,128,0.006657074604715619
MNIST,SMLLAE,3,13,0.01,128,0.006657127360465811
MNIST,SMLLAE,3,14,0.01,128,0.006656887963898718
MNIST,SMLLAE,3,15,0.01,128,0.006656191014905157
MNIST,SMLLAE,3,16,0.01,128,0.006656318711343287
MNIST,SMLLAE,3,17,0.01,128,0.006656195100611334
MNIST,SMLLAE,3,18,0.01,128,0.006655850640333283
MNIST,SMLLAE,3,19,0.01,128,0.006656040184334842
MNIST,SMLLAE,3,Test,0.01,128,0.006614444806841733
MNIST,SMLLAE,3,0,0.001,128,0.007526669676091943
MNIST,SMLLAE,3,1,0.001,128,0.007129180543958696
MNIST,SMLLAE,3,2,0.001,128,0.006862399920916506
MNIST,SMLLAE,3,3,0.001,128,0.006765948293774303
MNIST,SMLLAE,3,4,0.001,128,0.006721909473668029
MNIST,SMLLAE,3,5,0.001,128,0.006699072000489179
MNIST,SMLLAE,3,6,0.001,128,0.006684755486473918
MNIST,SMLLAE,3,7,0.001,128,0.006674145271918222
MNIST,SMLLAE,3,8,0.001,128,0.006666190188521071
MNIST,SMLLAE,3,9,0.001,128,0.006659881065863727
MNIST,SMLLAE,3,10,0.001,128,0.006655336162055543
MNIST,SMLLAE,3,11,0.001,128,0.006650205354081161
MNIST,SMLLAE,3,12,0.001,128,0.006644472882930023
MNIST,SMLLAE,3,13,0.001,128,0.0066401227973083825
MNIST,SMLLAE,3,14,0.001,128,0.006637251109822091
MNIST,SMLLAE,3,15,0.001,128,0.006635074969381094
MNIST,SMLLAE,3,16,0.001,128,0.006633695720363337
MNIST,SMLLAE,3,17,0.001,128,0.006632505035373384
MNIST,SMLLAE,3,18,0.001,128,0.006631365000232577
MNIST,SMLLAE,3,19,0.001,128,0.006630595536159872
MNIST,SMLLAE,3,Test,0.001,128,0.006618104639309871
MNIST,SMLLAE,4,0,0.01,64,0.01391412727217049
MNIST,SMLLAE,4,1,0.01,64,0.013436063997018566
MNIST,SMLLAE,4,2,0.01,64,0.013376562770749969
MNIST,SMLLAE,4,3,0.01,64,0.013366346217707785
MNIST,SMLLAE,4,4,0.01,64,0.013361999714401548
MNIST,SMLLAE,4,Test,0.01,64,0.013277486209894062
MNIST,SMLLAE,4,0,0.001,64,0.014377051853199504
MNIST,SMLLAE,4,1,0.001,64,0.013512781122202938
MNIST,SMLLAE,4,2,0.001,64,0.013400144494776087
MNIST,SMLLAE,4,3,0.001,64,0.013349439117755654
MNIST,SMLLAE,4,4,0.001,64,0.013319728205969402
MNIST,SMLLAE,4,Test,0.001,64,0.013226803712499369
MNIST,SMLLAE,4,0,0.01,128,0.007190725767115222
MNIST,SMLLAE,4,1,0.01,128,0.00675023056125876
MNIST,SMLLAE,4,2,0.01,128,0.0066801606357764845
MNIST,SMLLAE,4,3,0.01,128,0.00666625525500538
MNIST,SMLLAE,4,4,0.01,128,0.006662661204738086
MNIST,SMLLAE,4,Test,0.01,128,0.0066213580614686764
MNIST,SMLLAE,4,0,0.001,128,0.00748489843979319
MNIST,SMLLAE,4,1,0.001,128,0.006885871741928653
MNIST,SMLLAE,4,2,0.001,128,0.0067617408891540096
MNIST,SMLLAE,4,3,0.001,128,0.006719181147306713
MNIST,SMLLAE,4,4,0.001,128,0.006695649964905687
MNIST,SMLLAE,4,Test,0.001,128,0.006637160047370044
MNIST,SMLLAE,4,0,0.01,64,0.01391412727217049
MNIST,SMLLAE,4,1,0.01,64,0.013436063997018566
MNIST,SMLLAE,4,2,0.01,64,0.013376562770749969
MNIST,SMLLAE,4,3,0.01,64,0.013366346217707785
MNIST,SMLLAE,4,4,0.01,64,0.013361999714401548
MNIST,SMLLAE,4,5,0.01,64,0.013359892700336128
MNIST,SMLLAE,4,6,0.01,64,0.013357244081485437
MNIST,SMLLAE,4,7,0.01,64,0.013357081209251812
MNIST,SMLLAE,4,8,0.01,64,0.013356173400090002
MNIST,SMLLAE,4,9,0.01,64,0.013355251994412908
MNIST,SMLLAE,4,10,0.01,64,0.013355406436092182
MNIST,SMLLAE,4,11,0.01,64,0.01335399281352695
MNIST,SMLLAE,4,12,0.01,64,0.013353991917948097
MNIST,SMLLAE,4,13,0.01,64,0.013352991948559531
