Dataset,Model,Latent Size,Seed,Loss
FMNIST,PCKTAE,50,2,0.006826789369548498
FMNIST,PCKTAE,50,2,0.006827322590444833
FMNIST,PCKTAE,50,2,0.006827105072015193
FMNIST,PCKTAE,50,2,0.006826814566887836
FMNIST,PCKTAE,50,2,0.0066576786103505125
FMNIST,PCKTAE,10,3,0.007347332475496444
FMNIST,PCKTAE,10,3,0.007120603675654194
FMNIST,PCKTAE,10,3,0.007006797269344139
FMNIST,PCKTAE,10,3,0.00698871762037023
FMNIST,PCKTAE,10,3,0.006982447688719993
FMNIST,PCKTAE,10,3,0.006979574986509105
FMNIST,PCKTAE,10,3,0.006977942261868703
FMNIST,PCKTAE,10,3,0.006977102417411453
FMNIST,PCKTAE,10,3,0.006976327098318255
FMNIST,PCKTAE,10,3,0.00697557497988028
FMNIST,PCKTAE,10,3,0.006974148541204393
FMNIST,PCKTAE,10,3,0.00697408377556309
FMNIST,PCKTAE,10,3,0.006974239635076731
FMNIST,PCKTAE,10,3,0.00697339071072082
FMNIST,PCKTAE,10,3,0.006972975296172888
FMNIST,PCKTAE,10,3,0.006973322276383448
FMNIST,PCKTAE,10,3,0.006972892294282407
FMNIST,PCKTAE,10,3,0.006972591832542279
FMNIST,PCKTAE,10,3,0.006972776703051985
FMNIST,PCKTAE,10,3,0.006972482910494942
FMNIST,PCKTAE,10,3,0.006854290012977546
FMNIST,PCKTAE,30,3,0.007406430729011547
FMNIST,PCKTAE,30,3,0.007009717374682617
FMNIST,PCKTAE,30,3,0.006881697236427239
FMNIST,PCKTAE,30,3,0.0068724471767907585
FMNIST,PCKTAE,30,3,0.006867554048691858
FMNIST,PCKTAE,30,3,0.006865058470565055
FMNIST,PCKTAE,30,3,0.006863309701940398
FMNIST,PCKTAE,30,3,0.006860712538165515
FMNIST,PCKTAE,30,3,0.00685931985447211
FMNIST,PCKTAE,30,3,0.006858839329753095
FMNIST,PCKTAE,30,3,0.0068585308256751696
FMNIST,PCKTAE,30,3,0.006857350964083283
FMNIST,PCKTAE,30,3,0.0068569166440842376
FMNIST,PCKTAE,30,3,0.006856602127117707
FMNIST,PCKTAE,30,3,0.00685625314724439
FMNIST,PCKTAE,30,3,0.0068562952255500536
FMNIST,PCKTAE,30,3,0.006855348430907548
FMNIST,PCKTAE,30,3,0.006855807819171374
FMNIST,PCKTAE,30,3,0.0068553683580334255
FMNIST,PCKTAE,30,3,0.006854899300099499
FMNIST,PCKTAE,30,3,0.006693113117797088
FMNIST,PCKTAE,50,3,0.007279313827700007
FMNIST,PCKTAE,50,3,0.006910732720913028
FMNIST,PCKTAE,50,3,0.006856240272553745
FMNIST,PCKTAE,50,3,0.006841648001668614
FMNIST,PCKTAE,50,3,0.006837673218194038
FMNIST,PCKTAE,50,3,0.006834602943544131
FMNIST,PCKTAE,50,3,0.006832963190297646
FMNIST,PCKTAE,50,3,0.0068316641760104374
FMNIST,PCKTAE,50,3,0.00683058683436785
FMNIST,PCKTAE,50,3,0.006829118498090678
FMNIST,PCKTAE,50,3,0.006828946597588215
FMNIST,PCKTAE,50,3,0.006828312459252854
FMNIST,PCKTAE,50,3,0.0068272725720681365
FMNIST,PCKTAE,50,3,0.006827804305628419
FMNIST,PCKTAE,50,3,0.006827116847586339
FMNIST,PCKTAE,50,3,0.006826663622136182
FMNIST,PCKTAE,50,3,0.006826832468536045
FMNIST,PCKTAE,50,3,0.006826532632311079
FMNIST,PCKTAE,50,3,0.006826858834496566
FMNIST,PCKTAE,50,3,0.0068263776018532485
FMNIST,PCKTAE,50,3,0.006636360954917684
