Dataset,Model,Latent Size,Seed,Loss
CIFAR10,PCKTAE,1000,2,0.0014055751131899902
CIFAR10,PCKTAE,1000,2,0.0014033095510390676
CIFAR10,PCKTAE,1000,2,0.0014028130265910303
CIFAR10,PCKTAE,1000,2,0.0014025260485313318
CIFAR10,PCKTAE,1000,2,0.0014023997926908304
CIFAR10,PCKTAE,1000,2,0.0014018813196374365
CIFAR10,PCKTAE,1000,2,0.0014016563811189379
CIFAR10,PCKTAE,1000,2,0.0014440936770032892
CIFAR10,PCKTAE,1000,2,0.0014243909185204435
CIFAR10,PCKTAE,1000,2,0.001404153382586663
CIFAR10,PCKTAE,1000,2,0.0014839566945720017
CIFAR10,PCKTAE,1000,2,0.0014108108157706459
CIFAR10,PCKTAE,1000,2,0.0014720233961168076
CIFAR10,PCKTAE,1000,2,0.001413181315764518
CIFAR10,PCKTAE,1000,2,0.0012652103750836812
CIFAR10,PCKTAE,100,3,0.0016424382570535516
CIFAR10,PCKTAE,100,3,0.0014531147631142488
CIFAR10,PCKTAE,100,3,0.0014118829788521046
CIFAR10,PCKTAE,100,3,0.0014049744937935716
CIFAR10,PCKTAE,100,3,0.0014025708928447017
CIFAR10,PCKTAE,100,3,0.0013991983016700391
CIFAR10,PCKTAE,100,3,0.0013970196029157056
CIFAR10,PCKTAE,100,3,0.001393311892521789
CIFAR10,PCKTAE,100,3,0.0013931411588826523
CIFAR10,PCKTAE,100,3,0.001392892261138162
CIFAR10,PCKTAE,100,3,0.0013930558955268292
CIFAR10,PCKTAE,100,3,0.0013927367948772162
CIFAR10,PCKTAE,100,3,0.001393182793884631
CIFAR10,PCKTAE,100,3,0.0013934927992522717
CIFAR10,PCKTAE,100,3,0.0013930693213992258
CIFAR10,PCKTAE,100,3,0.0013928886799527633
CIFAR10,PCKTAE,100,3,0.0013932564341679902
CIFAR10,PCKTAE,100,3,0.0013933346086941526
CIFAR10,PCKTAE,100,3,0.0013933997167169551
CIFAR10,PCKTAE,100,3,0.0013939253839990481
CIFAR10,PCKTAE,100,3,0.0012197130333184254
CIFAR10,PCKTAE,500,3,0.0016852679666574768
CIFAR10,PCKTAE,500,3,0.0014480594191295297
CIFAR10,PCKTAE,500,3,0.0014172615557837556
CIFAR10,PCKTAE,500,3,0.0014079793435557153
CIFAR10,PCKTAE,500,3,0.0014042252075651188
CIFAR10,PCKTAE,500,3,0.001402358145779356
CIFAR10,PCKTAE,500,3,0.0013997070994490133
CIFAR10,PCKTAE,500,3,0.001396654748364978
CIFAR10,PCKTAE,500,3,0.0013959342432196449
CIFAR10,PCKTAE,500,3,0.0013964749280782536
CIFAR10,PCKTAE,500,3,0.0013957937757777589
CIFAR10,PCKTAE,500,3,0.0013960318320104495
CIFAR10,PCKTAE,500,3,0.0013957210980794009
CIFAR10,PCKTAE,500,3,0.001396433258538737
CIFAR10,PCKTAE,500,3,0.0013958499513809447
CIFAR10,PCKTAE,500,3,0.0013958857840765506
CIFAR10,PCKTAE,500,3,0.0013966904384443712
CIFAR10,PCKTAE,500,3,0.001396255015366999
CIFAR10,PCKTAE,500,3,0.0013963252921109957
CIFAR10,PCKTAE,500,3,0.001395589407042736
CIFAR10,PCKTAE,500,3,0.0012475650026639805
CIFAR10,PCKTAE,1000,3,0.001667453517989658
CIFAR10,PCKTAE,1000,3,0.0014482076104749423
CIFAR10,PCKTAE,1000,3,0.0014190071954956406
CIFAR10,PCKTAE,1000,3,0.0014116945798577898
CIFAR10,PCKTAE,1000,3,0.0014061081560228564
CIFAR10,PCKTAE,1000,3,0.0014035335737173362
CIFAR10,PCKTAE,1000,3,0.0014018969585918976
CIFAR10,PCKTAE,1000,3,0.0014019710189827224
CIFAR10,PCKTAE,1000,3,0.0014019618358682184
CIFAR10,PCKTAE,1000,3,0.0014018412858671735
CIFAR10,PCKTAE,1000,3,0.0014708124317319305
CIFAR10,PCKTAE,1000,3,0.0014320460887735382
CIFAR10,PCKTAE,1000,3,0.0014049641408688386
CIFAR10,PCKTAE,1000,3,0.0014562333574937776
CIFAR10,PCKTAE,1000,3,0.0014498071620583802
CIFAR10,PCKTAE,1000,3,0.0014084262179110743
CIFAR10,PCKTAE,1000,3,0.001454707673367332
CIFAR10,PCKTAE,1000,3,0.0014071570009069369
CIFAR10,PCKTAE,1000,3,0.001402389753581313
CIFAR10,PCKTAE,1000,3,0.0014028184531528092
CIFAR10,PCKTAE,1000,3,0.001229525767738306
CIFAR100,PCKTAE,100,1,0.0018191609401827502
CIFAR100,PCKTAE,100,1,0.001576658242436893
CIFAR100,PCKTAE,100,1,0.0015526291291417596
CIFAR100,PCKTAE,100,1,0.0015395432037761069
CIFAR100,PCKTAE,100,1,0.0015343224380851325
CIFAR100,PCKTAE,100,1,0.0015297778140720161
CIFAR100,PCKTAE,100,1,0.0015290422112588077
CIFAR100,PCKTAE,100,1,0.0015280532267759256
CIFAR100,PCKTAE,100,1,0.0015276108178860315
