dataset,model1,model2,sampling_strategy,mapping,lambda,latent_dim,num_samples,MSE_loss,MSE_loss_model1,MSE_loss_model2,MSE_variance,MSE_variance_model1,MSE_variance_model2,class
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_30_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_100_2.pth,equally,Linear,0.0,100,25,2.71640101,0.020854600600000002,0.0162230457,29.3044734,6.31363047e-05,4.62725185e-05,4.5
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_30_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_100_3.pth,equally,Linear,0.0,100,25,49.5536492,0.020854600600000002,0.027073940399999996,13386.391389999999,6.31363047e-05,9.265861129999999e-05,4.5
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_30_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,equally,Linear,0.0,10,25,3.8537509,0.020854600600000002,0.026818376900000003,94.6173181,6.31363047e-05,0.00011758193650000001,4.5
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_30_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_30_2.pth,equally,Linear,0.0,30,25,4.65570939,0.020854600600000002,0.025918893199999998,116.4704796,6.31363047e-05,0.0001001908517,4.5
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_30_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_50_1.pth,equally,Linear,0.0,50,25,1626.0889869999999,0.020854600600000002,0.0193941335,13981298.65,6.31363047e-05,6.414649670000001e-05,4.5
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_30_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_50_2.pth,equally,Linear,0.0,50,25,2.2351815999999998,0.020854600600000002,0.0225897325,34.7578974,6.31363047e-05,6.93324964e-05,4.5
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_50_2.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_30_2.pth,equally,Affine,0.0,30,50,126.61378319999999,0.0225897325,0.025918893199999998,47623.6375,6.93324964e-05,0.0001001908517,4.5
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_50_2.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_30_3.pth,equally,Affine,0.0,30,50,10.1072468,0.0225897325,0.0242715835,352.99705000000006,6.93324964e-05,8.23010864e-05,4.5
