dataset,model1,model2,mapping,lambda,num_samples,sampling_strategy,original_MSE_loss,MSE_loss,MSE_loss_transformed,class
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Affine,0,10,worst_classes,0.15996593236923218,0.17079323530197144,0.036248739808797836,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Affine,0.01,200,convex_hull,0.16013608872890472,0.16989856958389282,0.030848735943436623,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Affine,0.01,200,equally,0.16002844274044037,0.16520969569683075,0.03158118575811386,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Affine,0.01,200,outliers,0.15996931493282318,0.1606137454509735,0.03305060788989067,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Affine,0.01,200,worst_classes,0.16002729535102844,0.1644522100687027,0.03130302578210831,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Affine,0.1,200,convex_hull,0.15997762978076935,0.1698378473520279,0.0308770053088665,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Affine,0.1,200,equally,0.16012616455554962,0.15989677608013153,0.03623705357313156,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Affine,0.1,200,outliers,0.16001646220684052,0.16041526198387146,0.033258408308029175,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Affine,0.1,200,worst_classes,0.1599552184343338,0.16392716765403748,0.03152552992105484,all
FMNIST,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_1.pth,models/checkpoints/PCKTAE/FMNIST/FMNIST_PCKTAE_10_2.pth,Affine,0,200,convex_hull,0.15995946526527405,0.17257769405841827,0.02819155715405941,all
